                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4695,                 5.5958,                 1.3519,                0.48898,                0.35782,                0.36268,                0.22383,                 1.3804,                 2.0938,                 1.2696,             0.00023538,             0.00023538,             0.00023538
                      2,                 1.3317,                  2.099,                 1.2597,                0.32371,                0.46606,                0.34509,                 0.2106,                 1.3811,                 2.0305,                 1.2558,             0.00047026,             0.00047026,             0.00047026
                      3,                 1.3186,                 1.8154,                  1.246,                0.57165,                0.36904,                0.38479,                0.21906,                 1.3844,                 1.8579,                 1.2766,             0.00070199,             0.00070199,             0.00070199
                      4,                 1.2935,                 1.6026,                 1.2213,                0.81012,                0.36476,                 0.4276,                0.23725,                 1.3673,                 1.7478,                 1.2676,             0.00069986,             0.00069986,             0.00069986
                      5,                 1.2756,                 1.5043,                 1.2186,                0.74646,                0.38418,                 0.4372,                0.26032,                 1.4228,                 1.5209,                 1.3115,             0.00069986,             0.00069986,             0.00069986
                      6,                 1.2343,                 1.3821,                 1.1985,                0.58824,                0.40158,                0.46031,                0.27441,                 1.3672,                 1.4175,                 1.2656,             0.00069515,             0.00069515,             0.00069515
                      7,                 1.2098,                 1.2836,                 1.1678,                0.71994,                0.40444,                0.47776,                0.28676,                 1.3568,                 1.2648,                 1.2421,             0.00069044,             0.00069044,             0.00069044
                      8,                 1.1931,                 1.2392,                 1.1735,                0.69224,                0.42971,                0.50099,                 0.2882,                 1.3527,                 1.3941,                 1.2647,             0.00068573,             0.00068573,             0.00068573
                      9,                 1.1703,                 1.1919,                 1.1688,                0.72442,                0.53313,                0.52374,                0.32812,                 1.3015,                 1.2625,                 1.2067,             0.00068101,             0.00068101,             0.00068101
                     10,                 1.1286,                 1.1257,                 1.1391,                 0.8449,                0.44747,                0.55156,                0.33667,                 1.3423,                 1.3048,                 1.2389,              0.0006763,              0.0006763,              0.0006763
