                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                  0.796,                0.62091,                0.96299,                0.77622,                0.65224,                0.68943,                0.41802,                 1.2228,                0.95972,                 1.1939,             0.00063625,             0.00063625,             0.00063625
                     36,                0.80273,                0.62729,                0.95683,                0.67083,                0.59106,                0.62113,                0.38595,                 1.2574,                 1.0223,                 1.2212,             0.00063389,             0.00063389,             0.00063389
                     37,                0.80218,                0.62265,                0.95655,                0.81636,                0.58563,                0.65891,                0.41923,                 1.2196,                0.96993,                 1.1871,             0.00063153,             0.00063153,             0.00063153
                     38,                0.77396,                0.61965,                 0.9479,                0.73931,                0.57067,                0.65392,                0.40471,                 1.2544,                 1.0034,                 1.2275,             0.00062918,             0.00062918,             0.00062918
                     39,                0.78997,                0.62701,                0.95728,                0.76198,                0.64567,                0.69455,                0.43571,                 1.2191,                0.98867,                 1.2035,             0.00062682,             0.00062682,             0.00062682
                     40,                0.77885,                0.59065,                0.94106,                0.74214,                0.55378,                0.62336,                0.40585,                 1.2212,                 1.0029,                 1.2004,             0.00062446,             0.00062446,             0.00062446
                     41,                0.76716,                0.60376,                0.95174,                0.79655,                0.59868,                0.66167,                  0.399,                 1.2697,                 1.0078,                 1.2193,             0.00062211,             0.00062211,             0.00062211
                     42,                0.76305,                0.59546,                0.93864,                0.73901,                0.59179,                0.62106,                0.40533,                 1.2106,                 0.9968,                 1.1941,             0.00061975,             0.00061975,             0.00061975
                     43,                0.73752,                0.57015,                0.92893,                0.79176,                0.59404,                0.66003,                0.39366,                 1.2074,                 1.0296,                 1.2093,              0.0006174,              0.0006174,              0.0006174
                     44,                0.73589,                0.57366,                0.94617,                0.76138,                0.57292,                0.62964,                0.41049,                 1.2232,                 1.0121,                 1.2107,             0.00061504,             0.00061504,             0.00061504
                     45,                0.75372,                0.57622,                0.94221,                 0.7596,                0.60949,                0.66473,                0.42583,                 1.2063,                0.98216,                 1.2156,             0.00061268,             0.00061268,             0.00061268
                     46,                0.74344,                0.57937,                0.94053,                0.82264,                0.57231,                0.64202,                0.40242,                  1.235,                 1.0107,                 1.2018,             0.00061033,             0.00061033,             0.00061033
                     47,                0.73357,                0.56657,                0.93672,                0.86233,                0.54975,                0.65413,                0.41591,                 1.1977,                0.98639,                 1.1827,             0.00060797,             0.00060797,             0.00060797
                     48,                0.71745,                0.54546,                 0.9281,                0.82069,                0.55921,                0.62753,                0.39141,                 1.2209,                0.99329,                 1.1988,             0.00060561,             0.00060561,             0.00060561
                     49,                0.71691,                0.54092,                0.92378,                0.71646,                0.56871,                0.65562,                0.40644,                 1.2119,                0.99987,                  1.196,             0.00060326,             0.00060326,             0.00060326
                     50,                0.72437,                0.55249,                0.92463,                0.62541,                0.55222,                0.60364,                0.38111,                 1.2285,                0.97961,                 1.2207,              0.0006009,              0.0006009,              0.0006009
                     51,                 0.7128,                0.53834,                0.92744,                0.74988,                0.59435,                0.64367,                0.40452,                 1.2256,                 1.0554,                 1.2159,             0.00059855,             0.00059855,             0.00059855
                     52,                 0.6933,                0.52599,                0.91161,                0.79454,                0.64026,                0.68319,                0.45277,                 1.2041,                 1.0257,                 1.1882,             0.00059619,             0.00059619,             0.00059619
                     53,                0.69306,                0.52843,                0.91403,                0.70121,                0.63122,                0.65862,                0.41531,                 1.2192,                0.95313,                  1.205,             0.00059383,             0.00059383,             0.00059383
                     54,                 0.6917,                 0.5344,                0.91922,                0.82668,                0.55123,                0.65167,                0.42809,                 1.2416,                 1.0038,                 1.2126,             0.00059148,             0.00059148,             0.00059148
                     55,                0.68112,                0.51845,                0.91194,                0.74208,                0.58393,                 0.6513,                0.41831,                 1.2015,                0.92836,                  1.204,             0.00058912,             0.00058912,             0.00058912
                     56,                0.67466,                0.52729,                0.91443,                0.76828,                0.64105,                0.67433,                0.41735,                 1.2126,                0.99323,                 1.2079,             0.00058677,             0.00058677,             0.00058677
                     57,                 0.7015,                0.51766,                0.92255,                0.80933,                 0.5599,                0.65999,                0.44072,                 1.2135,                 1.0063,                 1.2009,             0.00058441,             0.00058441,             0.00058441
                     58,                0.67044,                0.50254,                0.91059,                0.75696,                0.61319,                0.65246,                0.40762,                  1.198,                 1.0419,                 1.1689,             0.00058205,             0.00058205,             0.00058205
                     59,                0.66966,                0.49627,                0.91013,                0.73522,                 0.6371,                0.66261,                0.42868,                 1.1941,                0.98974,                 1.1826,              0.0005797,              0.0005797,              0.0005797
                     60,                0.66368,                0.50841,                 0.9113,                0.74653,                0.64345,                0.67292,                0.44864,                   1.21,                 1.0386,                 1.1822,             0.00057734,             0.00057734,             0.00057734
                     61,                0.66371,                0.49827,                0.89962,                0.76636,                0.63301,                0.67599,                0.44378,                 1.2043,                0.96942,                 1.1678,             0.00057498,             0.00057498,             0.00057498
                     62,                0.64743,                0.48644,                0.89784,                0.75646,                 0.6245,                0.67511,                0.45928,                 1.2213,                 1.0025,                 1.2151,             0.00057263,             0.00057263,             0.00057263
                     63,                0.66157,                0.50337,                0.91183,                0.78088,                0.61571,                0.68309,                0.42445,                  1.241,                0.98596,                 1.2026,             0.00057027,             0.00057027,             0.00057027
                     64,                0.65254,                0.48508,                0.89806,                0.79557,                0.62917,                0.66862,                0.43346,                 1.2389,                0.96795,                 1.2056,             0.00056792,             0.00056792,             0.00056792
                     65,                0.67494,                 0.5028,                0.91558,                0.75423,                0.60036,                 0.6534,                0.42991,                  1.215,                 1.0028,                 1.1874,             0.00056556,             0.00056556,             0.00056556
                     66,                0.64578,                0.48908,                0.90317,                0.73966,                0.61259,                0.68692,                0.44993,                 1.2183,                0.98704,                 1.1987,              0.0005632,              0.0005632,              0.0005632
                     67,                0.62918,                 0.4683,                0.89689,                0.74626,                0.57309,                0.66459,                0.43136,                 1.2304,                 1.0485,                 1.2056,             0.00056085,             0.00056085,             0.00056085
                     68,                0.64003,                0.48325,                0.89468,                0.75098,                0.57842,                 0.6528,                0.43903,                 1.2281,                   1.03,                 1.2105,             0.00055849,             0.00055849,             0.00055849
                     69,                0.63967,                0.47441,                0.89945,                0.72648,                0.60326,                0.63968,                0.41353,                 1.2465,                0.98556,                 1.2205,             0.00055613,             0.00055613,             0.00055613
                     70,                0.62978,                 0.4578,                0.89017,                0.79289,                0.61621,                0.67344,                0.45008,                 1.1978,                0.97961,                 1.1913,             0.00055378,             0.00055378,             0.00055378
                     71,                0.62799,                0.46018,                0.89815,                0.82334,                0.57883,                0.66579,                0.43783,                 1.1811,                0.94081,                 1.1737,             0.00055142,             0.00055142,             0.00055142
                     72,                  0.606,                0.44483,                0.88656,                0.71828,                0.65696,                0.68077,                0.41487,                 1.2317,                0.98695,                 1.2016,             0.00054907,             0.00054907,             0.00054907
